cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
-263956786,45172804#3,,,-857738564,154253457#1,1057054850#1,58686905#3,759086770#0
-257233105#0,-511081976#0,,,760779955#0,-148642786#1,392088983#2,1126151009,464084177#8
1031963656#4,-44883383,,,74314549#0,-154253470#4,71470206#11,26457335#0,-71281735#3
257357817#0,23488561#0,,,1245764632#1,31280557#7,-888035089#2,-34996350#1,70330619#1
1031963656#3,23488562#0,,,97671480#0,70936554#4,-133434896#0,238153162#6,58064598#0
993526142#0,228633420#0,,,97671476#5,-228514822#5,184314046#0,91899428,59262037#0
203035346,22823721#8,,,69963041,1057050908,-151175252#0,,120531314#2
196380145,23990056#0,,,-24061029#5,-154253454#1,157058463#1,,43322798#3
203035387#0,-46149194#1,,,680782188#5,-88561232#5,152333598#2,,-156942465#3
-286703474#1,44838404,,,-667863963,744777945#0,28063946#2,,878619655#0
254711100#3,-746064104#1,,,1139284719#0,228514822#8,-31053660#2,,154082984#1
153190951#0,820214408,,,95274362#0,-120588896#6,667865211#2,,-27727791#6
-40969570#1,131025963#1,,,97685747#2,261368286#1,184315497#6,,154458459
265068939#0,22823716#2,,,1055857395#2,71502569#7,30998306#2,,464084172#6
1105155925#0,1028258369#0,,,-355240125#1,-71470213#5,-133288286#0,,199311778#6
145405914#0,173954121,,,97671426#2,70350393#1,-174022677#3,,-43097008#1
-203035386,810346011#2,,,95274349#5,365706961#0,-266525170,,154027661#0
647930456#2-AddedOnRampEdge,-27241671#0,,,1300917096,88956623#0,1051315753#4,,-120531314#0
92219072,22823718#1,,,23489017#2,156919938#1,-331676700,,464084172#4
257233098#0,22823718#1-AddedOffRampEdge,,,1085022611#0,1060224075#0,-104107445#0,,-154819636#1
691011135,849983642,,,242897856,-679937858,-71470206#10,,-173185145#5
436862684,849983642-AddedOffRampEdge,,,27695601#2,-154253452#1,969494638#2,,-148642787#1
691011141,-171300268,,,97685693#1,28063955#4,104107450,,30948214#0
862139022#0,1166015104#3,,,215959964#1,-1057050913#0,-397642511#5,,-30919189#0
147801989,-44838405#4,,,680782188#8,88956620#1,372741501#3,,126859161#1
51933184#1,44838405#4,,,273211091#4,-161392616#1,-120525530#1,,-30952224#2
144508549#0,466032168,,,-24061029#2,-228076698#8,228511415,,70509860#1
-1031963656#5,-23704729,,,97671475#2,-24294874#0,392943690#6,,1024128471#0
-196380138#2,45172807#0,,,-95274349#3,261368286#3,1102474289,,30919189#2
196380139#0,171300266,,,74314558#2,-234268630#0,-133288284#2,,173185147#1
203035357,-24372978#1,,,97671397#2,71470177#3,-174022681#1,,1062056472#2
-227081771,548938581#1,,,1245989820#0,-23288278#1,157058379#6,,126859151
196380152#0,265010601,,,264298077#0,208649513#2,1028570796#2,,43097008#8
287006577,426816157,,,676291216#0,116436279#3,-120525547#1,,114496981#0
265068932,198900387#1,,,667962682#1,88561230,-449585989#1,,286703476#0
-257233105#2,355202494,,,24061029#4,-1057054858#1,220549212#1,,-706102496#2
-203035387#2,760589787#1,,,95274385#2,-1229917617,151175259#1,,152185736#1
152413923#0,335539645#0,,,97671474#2,1057527744#2,372741502#3,,150349482#0
691011143,-46149607,,,-60659454#1,154253465,449399206#1,,-319197093#1
1254563378#2,285677614#2,,,97671376#7,,1030683394#1,,-57872683#0
269150825#0,27241668#0,,,342481198#1,,22736181#2,,-98593789#0
1196926577#0,-27242140,,,-95274349#2,,-120525537#0,,199311765#3
691015446#0,131025941#3,,,1031963663#4,,-228076708#3,,158177940#1
-92219086,209210742,,,95274349#1,,156919890#5,,43097008#9
196380147#0,171300268,,,74314551,,162173387#3,,31047303#2
1031963658#0,46149190#0,,,187797932,,103760979#2,,43097008#0
39520757#1,267301946#0,,,-680781433#0,,-151175252#1,,157058468#3
23578870#1,198900395#1,,,92223199#0,,-454877730#0,,148642784#3
1254563380#0,1165717966#1,,,178988162#3,,-22736445#1,,155035384
1031963657#0,355202503-AddedOnRampEdge,,,198900396#0,,168663962#9,,55886812#1
-257233098#2,1120579615#0,,,95274308#0,,228090233#0,,-98593775#0
27085151#8,679785216#3,,,1055857395#0,,22736446#3,,878619659#0
163198815#0,879498552#3,,,-172598552#3,,95396820#0,,-1024100281
174757591#1,533909177,,,97671427#1,,-103760979#3,,30948214#2
389357542#0,131025931#0,,,-355240125#2,,-168663974#4,,-43680742#3
-550689175#1,131025959#1,,,97671478#1,,1056781891#4,,70509857#1
-23578870#2,157296567,,,680781433#1,,-27904509#0,,148642784#2
92219075#1,209215786#1,,,97671397#8,,227454633,,-154723062#0
862139022#0-AddedOffRampEdge,44955976#0,,,152413923#1,,392090724#5,,135838551
257233105#1,1029301769,,,199152219,,-184314051#0,,-127518255
174757567#0,354858508#1-AddedOffRampEdge,,,187643891,,209210750,,148642797#0
445409146,-36688988#3,,,92223188,,168664002#2,,956136645#5
-24061006#2,45172802#0,,,680781433#2,,-667865207#1,,43680742#1
-287006577,36688988#4,,,-680782193#1,,184293865#1,,-148642771#1
884082444,1165717970,,,135175652#2,,-1024125608#2,,126855563#0
-59262030,350217576#1,,,856631371#6,,1030683393#1,,199311778#3
1254262171#0,1117138479#0,,,-680781432#1,,209210758#4,,-1126340239#2
1031963656#0,355202492#2,,,1133614450#0,,154971367#0,,-70509858#2
203035379#7,614989353,,,97671343#4,,220552211#0,,43724393#0
257233105#0,-31237889,,,1245764640#1,,-261326126#3,,55886808
23260765#5,46149615#0,,,46151426#3,,95396826,,464084177#3
51933192,44956024,,,264298077#4,,-162173421#0,,157058455#11
203035347,30177142#0,,,46151426#5,,157292942#0,,98593793#0
51933186#0,853378613#2,,,1139252860,,-151175259#3,,-31297738#1
178989940#0,171300277#0,,,95274348#0,,392940747#5,,154819598#1
-550689175#6,27242140,,,269150842#3,,1056781891#2,,70509855#3
203301447,173954122,,,172598552#1,,-319196849#7,,464084177#6
538982923#4,45170904,,,273211156#7,,449396163#1,,-71284538
263956785,22823719,,,95274384#1,,1057052863#0,,648488815#1
-1031963658#4,44955975#3,,,-261674288,,454877730#1,,648488815#2
286703474#0,31237829#3,,,-24061029#7,,-304727996#1,,114496980#8
23260765#7,174022683#1,,,-1245147132,,436182375#5,,464084181#3
40969565#1,24372991#3,,,680782189#0,,-151175267#4,,436048957#2
152413934#2,209366310#0-AddedOnRampEdge,,,92223190#0,,95396818#1,,436042880#3
203035354#2,209210754#0,,,1031963665#0,,162173391#2,,-43322645#3
254711100#0,987049867,,,40969592,,157058384#7,,1023908212#0
59266960#0,62066585,,,215959964#3,,1030683394#2,,-436042881#2
387312973#1,548938581#0,,,46151215#0,,-71470206#6,,156942465#2
39520757#2,199152209#3,,,215959965#0,,157292953,,156575075#1
-147801987#2,-31237872,,,97685711#0,,133287966#1,,1284303462#0
-72465971#6,44883010#2,,,1245764635#1,,-157292942#1,,98593753
174758263,257239021#5,,,31046486#2,,-220549212#5,,126859163#1
203035379#3,157345942#1,,,-680782188#5,,103761129#6,,1011347581
22730601#1-AddedOnRampEdge,584188123,,,691145248,,-22562403#1,,-154027637#0
-203133457#1,267301946#1,,,97671337#1,,133230931#3,,98593820
196380138#0,354858488#1,,,187797935#1,,168683414#1,,43099711#3
-89043372,-285664450,,,273211156#9,,103761129#2,,-152185706#1
145405919#0,-1028689293,,,1085022605#3,,174022677#1,,98593775#3
42294745#3,46149610#0,,,97671366#0,,184293866#0,,-793145062
227081771,265010620#0,,,40969573,,1030683394#3,,-148642788#1
-72465971#3,23704729,,,97671343#3,,368085648#1,,31297551#2
273211149#0,1165717963#0,,,-680781432#2,,667865212#3,,-436048949#0
-257233105#5,44883011#1,,,97685645#1,,-228076708#2,,126855579
1004202301#0,174022636,,,95277521,,-174022674#5,,-148642787#0
257233105#2,173954134-AddedOnRampEdge,,,-95274398#3,,-168683414#2,,-43097008#5
286703492#0,198900395#2,,,-95274398#2,,157058384#1,,156575070#2
152413934#4,44955973,,,-492442417#0,,162173387#2,,-43321686#1
691011140,-44838405#0,,,-95274334#0,,-152333576#0,,-148642793#2
92206657,265010616#0-AddedOffRampEdge,,,97671424#0,,-103761129#9,,114496980#4
-23874647,987135427,,,-92223190#1,,174022632#2,,-878619657
1196926577#2,173954135,,,95274334#1,,-157058463#0,,103751347#4
92219086,257357821#0,,,1284334995#4,,-31096719#1,,-154027637#1
647930456#2,257357821#2,,,-667867164,,517046814#1,,-1258451874#3
92403739,44955976#3,,,97671451#0,,969494638#0,,-120531314#3
21957625#0,101134273,,,856631371#7,,184315502#1,,70509855#4
387312967#1,391633685#2,,,680782188#2,,71470180,,154082984#5
203035355,27241663,,,240388169#5,,-184314046#0,,70330619#3
538982925#3,171300278#0,,,-1055857397#0,,199152198#1,,-304727814#4
667863965#3,100226632,,,97671474#1,,133288286#1,,1010964742
203035354#1,100226632-AddedOffRampEdge,,,97685645#2,,449602008,,30948680#1
-92403874#0,46149606-AddedOnRampEdge,,,97671376#3,,151175269#2,,-148642771#3
550689175#0,46149606,,,-95274349#1,,365814435,,59262037#4
23578870#2,-24372991#3,,,97671342#0,,-22562403#0,,759086770#4
-263956787#1,-131025959#0,,,97685761#0,,1024125607#1,,156575105#0
-145397104#1,44955972,,,60659454#0,,315539210#2,,198929894#0
59266960#2,651677235,,,-187797932,,-449396163#0,,-135838552#6
-216895901,285454834#1,,,-95274349#7,,22736451#3,,135838552#3
690601673#0,23681347,,,196380150#4,,30876642,,1257133850#0
24061006#0,4848754-AddedOffRampEdge,,,968060908,,28063947#2,,43101595#1
1105155926,582338491,,,680788596,,157058385#2,,98593775#4
436862683#1,131156055,,,97685757,,22562407#3,,43322798#5
884082446,131156052,,,245069170#1,,368084601#0,,-71361922
59262030,168573481#1,,,4848945#2,,22562403#3,,-58064598#1
-174757564#4,44955796#0,,,-1055853354,,168683414#4,,1023912413#0
691015447#1,853378613#0,,,-229878534,,151175271#0,,55887208
647930456#1,4848887,,,856631371#1,,151175271#2,,-43322798#3
342448077#0,405795843#2,,,157292833#4,,-104107450,,41527657#3
974064479#0,44838405#0,,,-680781437#1,,157058466#1,,126859148#0
1105524769#0,-27241668#2,,,273211091#2,,61185358#0,,1265530081#0
387312972#1,46151436#1,,,23489017#0,,-71470206#12,,312195003#2
257228938#0,405795843#1,,,680782193#2,,-319196849#4,,31047303#3
550689175#4,44883013#2-AddedOnRampEdge,,,680782193#4,,-174022632#0,,-43097008#2
958539572#0,265010595,,,968060906#0,,-151175266#1,,-199311778#7
1254262172#0,171300269,,,-1133614450#1,,151175222#4,,27727791#1
174758265#1,623362974,,,1085022607,,-133434896#1,,-1024102268
203035379#2,651677225,,,667962682#0,,-449294638,,-154027661#0
23579065#6,582230759,,,355240125#0,,-220548976#2,,96828486#2
667863965#1,100226630,,,-119569977,,-133288284#4,,-98593736#3
254711100#2,44955975#2,,,92223190#2,,151175277,,114496980#7
379075314#2,44955970#0,,,968060912#0,,22736446#2,,319196848#12
27085148#5,4853035#1,,,273211096#0,,-133434898,,156938673#0
682703711#2,4848754,,,97671376#1,,-157058398,,99702562#2
67027572#0,1015165917-AddedOnRampEdge,,,-245069170#4,,22562407#6,,-31297738#9
89423681#1,27241664,,,-245069170#6,,-151175259#1,,397645478
33625073#2,44955977,,,1284334995#3,,154971367#9,,878619655#2
682699857#0,131156051#0,,,97671387#0,,-449399206#2,,120531314#5
92204278#1,759397447,,,24061029#0,,152333597,,70610406#1
231665609,339397020,,,968060905#2,,28063947#0,,1024102266
-263956788#6,-131025931#0,,,240392355#2,,397642511#8,,-1024102269
-263936851#3,131156051#0-AddedOnRampEdge,,,97671474#0,,-273211100#0,,1062056471#0
264070491#2,,,,-492442417#2,,397642511#4,,-126859163#0
-93470027#1,,,,968060905#0,,172365184,,156575070#6
90636499#1,,,,178988161#7,,103760989#5,,-91899427#4
263881214#0,,,,74314562#3,,-71470206#7,,31297738#6
-958539562#1,,,,54786433#0,,-449399206#10,,-71359527#3
139506064#2,,,,856631371#9,,228090248#3,,-1024120796#0
92403802#1,,,,40969574,,528899359#1,,98593799#0
408269726#4,,,,69963033#3,,22562407#0,,-158177940#1
92403859#0,,,,40969591#1,,31096719#2,,-30952224#3
93325432,,,,1031963663#6,,1058417654,,56240964#2
44887720#0,,,,97671423#1,,172365189#1,,319196848#8
231876387#2,,,,95274307#0,,-220548976#0,,-148642772#0
341182777,,,,23488890#1,,151175274#3,,99702521#3
-1298032332#3,,,,1031963663#5,,-184315508#2,,-304727814#0
-263865426,,,,98247389,,151175223#5,,98593803#1
145569058#0,,,,97671441,,-152333600#0,,-43097008#0
-34951755#1,,,,97671397#4,,-227454633,,-28050206
254305245,,,,92223213#2,,-449399206#0,,41527657#2
31624134#0,,,,69963030,,392090724#0,,-266525226#0
263935798#1,,,,1284334995#6,,168683423#2,,41184057
51937093#2,,,,46151739#7,,157296628#2,,-30948214#2
92204266#1,,,,46151739#10,,-22736451#1,,1024120795#0
156643842#4,,,,74314557#2,,1255617398#7,,31297682#8
27085148#1,,,,273211156#8,,-151175231,,199311778#0
958539570#2,,,,-187797935#1,,-168664002#3,,-148642784#2
-93470052#0,,,,97671339#2,,157292846#7,,-173185144#0
572507447,,,,355240125#3,,392090724#3,,47036733
41520004#0,,,,40969575,,228090248#1,,-71281735#1
139504257,,,,157296623#0,,120525546#1,,-148642797#0
264114581#3,,,,680782196,,174022677#4,,154824101#0
263881205,,,,-46151739#4,,169811755#0,,53542680#3
181579861,,,,95274349#9,,151175253#2,,57889595#3
958539560#1,,,,355240125#4,,-151175267#2,,55670063#0
54690001,,,,968060906#1,,-151175253#3,,-43680742#1
34951714#0,,,,69963040#0,,184315505#1,,-126859161#0
254304968#3,,,,240392347#1,,151175267#1,,-199311778#5
22730620#3,,,,-95274334#1,,151175244#1,,70509855#1
-263935797#2,,,,264298077#3,,209210753#0,,260425575#0
181579868#6,,,,680782194,,22736451#5,,-43724393#0
-537438903#7,,,,-1245147133,,162173400#4,,157058455#0
34951880#3,,,,157292833#11,,-168663981,,148642794#1
139506059#1,,,,97671397#0,,449585989#1,,59262037#2
67027572#1,,,,97671428,,-174022661,,683464859#1
-175987706#1,,,,1031976629#6,,184293855#3,,372443876#6
408269726#1,,,,857738561,,151175253#1,,312195005#4
89043373#0,,,,97671342#1,,168683423#3,,1023908216#1
181579915,,,,196380148#0,,-220551730#1,,312195002#2
874155679#1,,,,24061029#5,,392943690#5,,-706102496#1
327402833#1,,,,4848945#1,,95396853#7,,157058371
1245147128#0,,,,92223213#4,,-71470206#0,,156575077#7
682703711#0,,,,538982924#0,,168663962#1,,-1023908212#1
-727486837#1,,,,46151739#3,,133287966#0,,464084177#10
681548220,,,,46151739#1,,-22736444#2,,1056781891#0
156643284#0,,,,95274349#3,,120525537#5,,464084181#1
92403764#0,,,,46151426#4,,27904509#3,,55886812#4
34951880#1,,,,97685639,,-162173391#2,,43724391#1
90636499#2,,,,-245069170#1,,23298952#0,,-98593775#3
682699851#0,,,,820180323,,-133287966#1,,381697485#2
379075334#0,,,,856631371#10,,-708004651#0,,154819743#0
92204285#0,,,,-680782188#0,,-220551730#2,,-319196848#9
-682699857#0,,,,-74314563,,492041976#0,,43680742#2
34951786#0,,,,97671431,,,,-31297551#2
263956788#0,,,,179260411#0,,,,70324971#4
379075334#1,,,,1245989823,,,,436042880#16
145569102#6,,,,1055857397#1,,,,148642796#0
277549012,,,,74314555#0,,,,58686248#0
34951694,,,,95274385#0,,,,312194995#1
128715078#2,,,,273211057#0,,,,-43099711#2
537438903#6,,,,273211091#7,,,,314088440#0
108891397#0,,,,-680782193#4,,,,156575056#7
203035372,,,,-689924124#4,,,,196629589#1
874155679#7,,,,-968060906#0,,,,43101595#3
46983928#0,,,,24061029#10,,,,960810617
41519621#1,,,,-968060907#2,,,,-153792680#6
264114941#1,,,,856631371#15,,,,98593801
31090134,,,,680788589#0,,,,1055857399
263866527#0,,,,97685693#3,,,,157058455#10
-175994174,,,,60659454#1,,,,-30948680#1
1051311054#0,,,,97685712#3,,,,135838552#1
264017278#2,,,,97671461#1,,,,669098840#4
-34951700,,,,74314549#1,,,,173185147#2
90636499#3,,,,23488886#2,,,,1024120794#0
-788084213,,,,135175652#3,,,,-156575105#1
537438903#3,,,,-97685741,,,,-30947123#0
874155679#3,,,,680781433#0,,,,-43322798#4
33627357#0,,,,172598552#2,,,,157058374
263881203#1,,,,355240125#2,,,,42305097#1
231779274,,,,538982926#1,,,,-70509862
51937090,,,,893375978#0,,,,-772804659
-139505519#1,,,,-40969574,,,,157058455#3
958539570#4,,,,240392355#1,,,,103751347#3
41818367#2,,,,-820178850,,,,-43322798#5
-31624134#0,,,,-97671331#0,,,,492041969
-34951880#0,,,,179260411#6,,,,243206488#2
874155675#0,,,,680782193#1,,,,154458450#2
46983928#1,,,,69963040#1,,,,43322650#0
264017864#0,,,,680781432#1,,,,-126859163#2
-92206649#0,,,,636502358#3,,,,157058468#0
174757582#3,,,,97671452#1,,,,96828486#0
263881214#3,,,,-46151739#8,,,,-27727791#3
41818367#1,,,,1245764639,,,,-319196848#7
-203035368,,,,97671397#7,,,,-99702562#2
376037100,,,,690601667#2,,,,153792689#1
1244284990,,,,23488891#0,,,,1011347580#1
1057181620#1,,,,23488888#2,,,,-120531314#5
139506064#0,,,,97671339#1,,,,114496980#5
1040865313#1,,,,667962678#1,,,,-135838552#8
264115338,,,,97685742#4,,,,43097008#3
139506059#0,,,,97671387#6,,,,1055855910
90636522,,,,269150811#3,,,,53542680#0
874155679#6,,,,893375978#4,,,,290874174#3
34951902#1,,,,97685761#1,,,,42305097#3
379075314#0,,,,157292833#10,,,,1024125610#3
42294756#0,,,,95274372#2,,,,43680715
229875718,,,,97671476#4,,,,669098840#3
-181579915,,,,-355240125#3,,,,314088440#3
41969258#1,,,,178988161#4,,,,70509859#1
587793732,,,,240388168#3,,,,-30952224#7
537438903#4,,,,97671376#6,,,,-135838552#4
254304956,,,,48037790#1,,,,42305099#2
90636499#4,,,,95274385#10,,,,436048947#4
263956790#0,,,,97671394#1,,,,492215761
181579868#10,,,,95274385#7,,,,706102496#0
1298032331#0,,,,24061029#7,,,,148642777#1
-263956788#1,,,,95274397#0,,,,43097008#6
175987706#0,,,,-95274339#0,,,,-98593799#0
93325455,,,,240388168#0,,,,30949764#1
51937095,,,,1245764637,,,,-98593790#0
156643842#4-AddedOffRampEdge,,,,97671327#1,,,,464084177#4
229875719#3,,,,245069170#5,,,,148642790
54690005#0,,,,97671355#1,,,,960810626
128715078#0,,,,968060909,,,,156942465#3
-537438903#6,,,,269150842#1,,,,-70610410#1
93325433#1,,,,-680782188#9,,,,23243743#6
54690000,,,,-378284518#0,,,,42137610
93325453#2,,,,92223213#0,,,,100599688#1
264448295#0,,,,23489017#1,,,,314088440#7
51937092#2,,,,342481198#2,,,,157058455#5
379075320,,,,178988162#7,,,,-47036733
174757582#2,,,,60659451,,,,114496981#3
264021276#1,,,,198900384#3,,,,120531314#0
93325440,,,,1031976632#0,,,,-1009087387
-263866527#0,,,,97671476#0,,,,98593803#0
229875719#2,,,,690601667#0,,,,135838553#3
264019966#0,,,,1031976632#3,,,,154664728
156643842#1,,,,680781432#2,,,,173185145#0
92204268#2,,,,92223210,,,,148642787#1
92204258#0,,,,-46151739#3,,,,30919189#0
263956788#4,,,,95274398#3,,,,290874174#0
174757591#0,,,,-46151739#1,,,,30952224#2
263936851#2,,,,525293040,,,,-154819636#2
44887721#3,,,,-97685639,,,,31297551#0
93470027#1,,,,492442417#0,,,,154458472
229875719#0,,,,95274398#2,,,,1056397448
-51937090,,,,97671449#2,,,,154084101#1
958539562#0,,,,95274349#4,,,,-1256474316
-93325431,,,,95274334#0,,,,70324974#0
264448295#3,,,,92223190#1,,,,27727791#9
-186251728#0,,,,97671451#1,,,,57872683#0
263866527#1,,,,97671455#1,,,,96828486#3
41519941#0,,,,-355238450#0,,,,154458434
-31624221,,,,95274308#2,,,,156575063#1
-264017864#0,,,,152413923#3,,,,71366317#6
874155676#4,,,,95274345#1,,,,-148642784#1
92204278#2,,,,4848943#1,,,,1010971912#0
-376037100,,,,-1055857397#1,,,,136228820#3
874155676#0,,,,245069170#0,,,,-256511169#2
537438903#8,,,,-273211057#0,,,,-429967547
1298032332#2,,,,23488888#3,,,,960810629#0
156643842#2,,,,97671486#1,,,,154723062#0
263881214#2,,,,178899418#2,,,,27727791#13
89423682#0,,,,-24061029#10,,,,-1023908217#1
92204257,,,,636502358#1,,,,127518255
128715110#0,,,,269150837#0,,,,-381697485#3
-850032932#1,,,,97671372,,,,55886809
203035367,,,,680782189#1,,,,1265530082#0
844460384,,,,1113105796#0,,,,156575070#1
263865426,,,,-23488886#4,,,,-70324971#4
-263865428#0,,,,23488886#0,,,,126859148#1
-537438903#10,,,,97671387#2,,,,-98593790#1
42294756#2,,,,95274349#7,,,,312195003#0
23579333,,,,-95274380,,,,30954993#0
203035385#1-AddedOnRampEdge,,,,269150813#1,,,,156942465#6
156643284#3,,,,-46151739#6,,,,55887660
-92206649#1,,,,1055853354,,,,198929894#1
203035369,,,,229878534,,,,1126340239#0
93470052#0,,,,1031963663#2,,,,70509858#2
-537438903#4,,,,157292833#5,,,,-314088440#1
186251728#1,,,,273211096#1,,,,648488815#5
33637368,,,,1069975920#0,,,,31297738#1
-1143901798,,,,178988161#5,,,,312194996#5
264114583,,,,97685621#0,,,,-98593801
264114580,,,,856631371#4,,,,114496980#2
379075344#0,,,,680781437#0,,,,-1024120796#1
175994177#1,,,,95274397#1,,,,1024128475#1
263956790#4,,,,-187797933,,,,436048947#7
-86867130#0,,,,178988162#9,,,,43322645#3
42294744#3,,,,97671338#1,,,,436048952#0
33637556#1,,,,157292833#1,,,,103751347#0
51937093#0,,,,157292833#8,,,,-127518234
-231879072#2,,,,178989944#0,,,,23243743#2
-850032932#0,,,,95274354#1,,,,152185706#1
262051128#2,,,,264298077#5,,,,793145062
41519941#1,,,,1245764640#0,,,,148642788#1
145569058#8,,,,58704022#1,,,,196629589#4
44887720#4,,,,198900392#1,,,,464084172#2
843126657#0,,,,119569977,,,,51843919#3
788084211#0,,,,97671476#3,,,,-290874175#0
124081177#0,,,,245069170#4,,,,-157058457#0
-92204268#2,,,,-288444984,,,,43724393#1
264115339,,,,97685693#4,,,,793094546#0
264019966#2,,,,245069170#6,,,,55886812#3
263881214#4,,,,1245764636#4,,,,158177940#8
-213738419,,,,1031976629#1,,,,43321686#0
48780822#1,,,,4848927,,,,-43097008#11
874155679#2,,,,97671424#1,,,,148642793#2
-51771205#1,,,,-97671353,,,,878619657
41818367#3,,,,492442417#2,,,,-153792689#1
-537438903#2,,,,97671339#0,,,,-1055857401#1
-89423681#0,,,,1245989824#1,,,,-56240964#1
-263866527#1,,,,1245989818#1,,,,-43680715
-175994175#0,,,,1105285859#0,,,,148642771#3
22730620#2,,,,74314549#2,,,,-135838552#7
682699851#2,,,,31046486#1,,,,55943333#0
175994174,,,,97671461#4,,,,-70509859#1
-175994177#0,,,,95274307#1,,,,-314088440#3
33625073#5,,,,-245069170#5,,,,-156942465#7
174757582#0,,,,-355239976#1,,,,-42305099#2
34951700,,,,1279121054#0-AddedOnRampEdge,,,,156575075#2
-537438903#9,,,,97685747#0,,,,158177940#3
376098682#0,,,,680781434#0,,,,71281733#3
219973542#0,,,,-60659451,,,,148642788#0
33625073#0,,,,-97685670,,,,956136646#3
35216848#1,,,,273211091#1,,,,243206488#3
228056324#4,,,,46151426#0,,,,-70610406#0
51770989,,,,95274362#2,,,,98593816
89423682#1,,,,215959965#1,,,,-1024115417
1143901797#1,,,,95274385#1,,,,71361922
139505519#0,,,,538982926#3,,,,156575070#4
682420451#0,,,,97685612,,,,91689530#1
34951880#0,,,,-680782197#1,,,,-148642790
22730620#2-AddedOnRampEdge,,,,1055857393#1,,,,1021568757
92206649#0,,,,157292833#9,,,,42305099#1
51937092#4,,,,273211042#0,,,,-1284307157
-186251728#1,,,,46151739#4,,,,-100599688#1
1143901797#0,,,,-95274349#4,,,,-30919579
263956790#2,,,,-97671411#2,,,,135838552#2
537438905#0,,,,157292833#13,,,,-319197093#2
203035363,,,,680781439,,,,43097008#2
51937092#5,,,,178988161#3,,,,148642776
-175994177#1,,,,198900392#3,,,,1024102268
41818367#0,,,,97671376#4,,,,98593736#1
263955768#1,,,,1245764633#3,,,,-43051364#0
-93470052#1,,,,-1177591509,,,,31297738#8
92204268#1,,,,1279121054#0,,,,-98593789#1
958539560#2,,,,1245147133,,,,-135838553#4
682420451#2,,,,1069975921,,,,-154664728
264112784,,,,-245069170#0,,,,98593799#2
174757582#5,,,,601322290,,,,-290874174#2
572507450,,,,636502357#2,,,,-156942465#5
93325426#2,,,,1055857395#1,,,,43097008#7
-93470027#0,,,,97671397#1,,,,-1024128472#2
162538295#0,,,,680760292#1,,,,-31297551#0
24461574#3,,,,680782193#0,,,,-135838553#2
33627357#1,,,,-23488886#1,,,,319185014#0
46983934#0,,,,1070720653#3,,,,314085053#0
264021276#0,,,,342481197#0,,,,91899427#2
-124081177#1,,,,97671461#3,,,,51843919#10
-682699857#2,,,,1105285856,,,,-27727791#10
51937091#0,,,,-95274398#1,,,,71359527#0
90790948,,,,97685712#1,,,,43322798#9
139506064#1,,,,97685696,,,,1067777042#0
264448295#6,,,,680782188#0,,,,114496981#4
89043373#2,,,,97685711#1,,,,-154458434
44887720#1,,,,97671376#10,,,,30952224#3
92204285#3,,,,74314563,,,,148642772#0
92206679,,,,1031976626#0,,,,304727814#0
860088218,,,,135175650,,,,28050206
51937092#3,,,,378279497,,,,154722999
93325450#1,,,,-355238450#1,,,,436042880#1
958539563#0,,,,95277522#0,,,,-148642782#0
51937093#1,,,,97671455#2,,,,99702521#2
90636499#0,,,,1245764633#1,,,,-136228820#4
184577945,,,,196380131,,,,372443876#3
41519891#1,,,,97685645#0,,,,-98320323
-51770989,,,,178988161#0,,,,157058455#9
93325431,,,,4848945#0,,,,154971162#1
34951902#0,,,,689924124#4,,,,173185144#0
92403764#1,,,,968060907#0,,,,55886810
186251728#0,,,,680782193#3,,,,-148642797#1
174757608,,,,273211091#9,,,,-27727791#14
31624221,,,,856631371#3,,,,71281735#0
41818367#5,,,,273211091#8,,,,-148642782#3
41969258#0,,,,198900396#2,,,,464084177#2
-263935797#4,,,,95274378,,,,-43051364#6
264112785,,,,97671386#0,,,,59262036
263936851#0,,,,97685741,,,,648488816#2
89043374#1,,,,240388168#2,,,,135838438#3
958539570#0,,,,27695601#0,,,,91899427#5
35542051,,,,97671366#1,,,,-30954993#2
850032932#1,,,,198900384#1,,,,-156942465#6
90636499#5,,,,198900384#8,,,,126859161#0
-92204268#1,,,,-1105285859#1,,,,683464859#2
263865428#0,,,,273211113,,,,-156942465#8
537438903#10,,,,97671331#0,,,,372443876#0
263941941,,,,856631371#5,,,,42305099#0
-263865429#0,,,,-355240125#5,,,,70353937#5
92206649#1,,,,178988162#4,,,,27727791#11
34951737,,,,538982925#2,,,,706102496#1
44887721#0,,,,680760292#2,,,,55886806#1
263956789#0,,,,95274372#1,,,,312195005#2
-203035353,,,,46151739#8,,,,-154027661#1
-175994173#1,,,,1139284719#1,,,,1062056472#0
33625073#4,,,,95274385#5,,,,70509861#1
-181579868#1,,,,676291217#0,,,,43322798#7
263956789#2,,,,187797935#0,,,,156575068#1
874155676#1,,,,1245764638#1,,,,1024120795#1
264019962,,,,-680782188#6,,,,98593790#2
89043374#0,,,,74314558#1,,,,312194996#4
1143901798,,,,198900384#5,,,,-706096493
1196926577#3,,,,-680781434#0,,,,154082984#3
86867130#0,,,,-24061029#9,,,,70353937#6
92403837,,,,97685761#2,,,,319196848#9
33637556#0,,,,-23488887#1,,,,30949764#0
89423678#2,,,,97685747#1,,,,793094546#1
-51771205#0,,,,203301442,,,,304727850
145569102#4,,,,40969591#0,,,,-1023908217#2
