cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
759287234#2,199152209#0,44884666#0,-71367221,47418307#0,-70936552#0,174022674#3,-683459298#2,-157044177
-139085555,-265010620#1,44884667#1,382681596,95282524#1,103945938#0,1030678058#1,89041314#15,-57207543
854239336#6,4853038#0,1028572143#1,190521610#0,93713532,34078512#2,-162173400#2,199311779#6,208649499#0
150868759#0,-31237829#2,1028570789#1,796894969#0,-95396821#1,88083336#0,162173421#0,736550490#4,793657045#0
134923821#0,-31237829#3,-1241354856,-164774173#2,682712366#1,-228514822#7,151175222#8,89823564#0,208649508#0
431519956#1,-680781712,-23288368#1,-1058029001#1,46151433#0,23288277#3,319196849#7,395264620#6,208649503#3
-150868759#1,-680781713,170624697,147259695#1,120419639#1,-71488888#0,436182375#2,-579417817#0,1056779402
-47905475#1,-680781420,44884670#2,-71367225#1,90636496#0,-24294871,-30998553,89825910#2,145988606#1
159625689#1,45172605#2,129219187#0,1056874653#0,-95396776#1,-120469239#1,-174022679#1,579331696,-46655493#0
134923802#5,46148745#0,1028570786#4,1058036873#3,969494639#1-AddedOffRampEdge,-154253449#0,-71470206#3,89828168,1196019587#1
968218275#0,-257239012#2,-1028573261#1,47113620#3,1126340244#0,228514822#6,-319196849#0,-395264626#3,680497644#1
208646339,44883385,368083795#2,44885799#0,160732454#5,1060226507#0,-22736181#1,543019008#0,57015985#3
-211240835#2,-46148742#1,367851534,47113632#0,273211141#3,34078512#1,-152333576#1,681548746#0,154458522
-47025795,46148742#1,-44884988#0,47113644#3,1051315751#5,88083349#3,-133434827,89825903#23,208649499#3
134923819#2,667959153,170624694,-44886285#4,95396825#0,154253456#1,304727996#1,89825903#11,72002813#2
-45242991#2,45018427,-368083795#1,-71367244,31046903#1,161392507#1,368084608#3,-395264637#3,59585493#7
-47905475#8,44883381#0,-44884666#3,44885597#2,95396825#1,120588459#4,168663971#2,-89934511#1,-154458448#3
25868299,4853039#1,-44884834#3,-297026346#3,31047009#1,70936551#0,-151175259#2,-583258515#1,-71652104
-1108009356,24821311#2,170624688#1,1229651928,273211087#2,71502569#0,-22736181#3,90835548#0,386246054#1
134923802#3,131025939#0,368074417#0,1066890904,31047009#3,88956620#0,157058379#1,683457657#4,1021561410#0
-146744473#1,-131025939#1,1028570789#0,44886286#0,94094831#1,1060235882,71470206#6,89881861#1,56016110#4
-150868759#0,820360602,46875473#1,796894969#3,38790699#3,228090234#1,-151175274#1,579417817#1,-146937564
-1030288624#0,-24372991#2,1028572154#0,-1195136380,-492041982,185216946,95396798,722841716#0,59584806#1
253812419#2,24372991#2,170624720#0,462324820#0,368086828#2,-30841649#1,-220551731,22720676#8,750339758#3
-47905475#0,44883349,170624720#1,149986652,-680760288#0,-23288277#0,59262034#5,156938700,56016125#1
-146744467,44883013#1,-44884670#0,-749803802#13,95396756#2,163816326#0,220549212#5,-89825899,262334436#1
-186846961#3,568498789-AddedOffRampEdge,170624723#0,-1058029001#3,265176187#1,-679653135#1,392092819#2,89213766#8,1021551457
-146744471#0,44838841#3,-44884665#3,-47113624#3,21910839#1,-1144401621,22562403#1,-22720676#1,388577154#1
134923812#0,44838841#2,-170624689,-149986653,682712367#0,46655426#0,151175229,-89881824#3,1024102263#0
-208646339,-44883357#0,-376769524#1,-47981601#7,368086832#2,89477498,151175269#3,89881837#5,46771117#1
-1030281993#3,44883356,1028570786#6,-749803802#1,264109548#1-AddedOffRampEdge,-44884989#1,-220549212#2,581537566,46771114#1
-598962877,-23704749#0,44884830#2,-136400684#10,438405583#5,70350393#2,261326126#2,314205672#4,1021551461
968218274#0,354858504#0,170624691#4,44886285#5,157279300,261321460#0,-174022679#0,1024849137,70794981#9
413095251#0,45173875#0,-376769524#0,-60185726,751045577#1,120469241#1,151175245#1,737611521#0,46655490#1
1030281243,44883348,172627211,1056876860#2-AddedOffRampEdge,-93713541,-208649513#5,517046814#3,-199311779#12,56016110#6
-134923810,-22823721#7,1028572142,136400684#1,47418248#0,-1057054858#0,667865211#0,91689528#9,56016157
134923812#2,-22918541#5,44884911#0,-1057198634,-993551535#1,-70350388,667865214#0,91686853#2,-1024100300
968218278#2,131156049#2,368074416,-47981601#3,203035354#5,59262035#0,157058381,89820753#1,156575056#1
282055767#1,131156049#1,-376769524#2,1058036877#0,94094850#0,749869680#1,-28063954,395264639#0,1024100297#0
-25868299,131156057#1,44884667#2,-136400684#13,156938702#0,-44886564#1,95396795#1,-92034752,-56016102#2
354858481#0,46149027#0,170624691#5,1056874646#0,47418327#1,266525174,103761129#9,-89822310#2,154475500
186846961#0,285664452,1028573261#3,516926839#0,-1031963661,266525183#1,-407109951#0,260425576#16,146901451
968218278#3,173954118,368083795#0,-1056405594#0,94094815#0,-161392598#1,-120525563#1,581742830#3,1021561410#1
134923819#1,-149136359,368074418#1,147297552,35216007#4,185216943,174022625,193618808,-157366923#4
134923821#1,-44838842#1,44884985#2,1056408300#1,264448651#1,154253470#2,-31857045#1,-265225085#1,1024102265#2
146744473#2,-46148743#1,-44884667#3,681031183#0,31046679,261368286#5,-120525537#3,89828174#1,210903524#1
59254378#4,131156025#0,44884669#1,47113644#4,94094850#2,71470190#0,151175223#4,591995053#1,197666540#1
968218276,257357812#3,-44884666#2,1058036872,95396785#1,-155035371,50877021#3,23994706#4,1057083595#1
59254369#0,209210751#0,1028572141,728136201#0,-368086836,-1144401620,-220552217#0,772804655#0,208649499#5
69962703#0,131156028#1-AddedOnRampEdge,45018813#0,1056408312,429875583#0,161392555,104107445#1,543018993,46655464#0
150868759#1,242897858,44884911#2,-72843620#1,94094868#0,365706946#0,31096719#1,89828151#1,998681826
47905475#1,-580847350#0,-1028573261#2,1058036874#2,264448294,120588503#6,-667865209#0,91689528#11,59585493#1
134923801#0,-580847356,-44884670#1,-47113636#3,38790699#1,161392551,449150695,813026176#0,46655806
-413095251#0,220547267#0,45018838#2,190521610#3,95396844#4,208649499#6,-1024125616#0,145581932#0,208649510
211240835#2,101134277#2,184580017,1124642414#0,-47418307#0,31280557#3,436182375#7,587119225#3,1021561138
47025795,101134277#3,44884668#0,-164774174#1,-95282524#1,70794984#6,168683397#1,89934511#2,46655464#4
-186846961#0,679785216#6,-44884666#1,-149986796#2,95396840#2,161392586#1,449396163#3,90835548#5,680497647
-134923821#1,44883353#0,170624681#3,44885796#4,1013421395#2,-70936554#0,95396782,89934450,196629587#0
45242991#2,623362978#0,170624691#3,60185717#1,32122316#0,-31035836#4,266525206#1,597398401,46771114#0
47905475#8,-350217575#2,-170624690#1,1057215458#0,681547930#0,201348370,392943690#3,395264610#0,-1024102261#1
45242995#8,350217575#2,-44884665#2,987284423#1,-95396802,744266431#3,162173401#0,27916859#10,-750339758#2
-146744471#1,651677177,170624690#2,-190527310#0,1096310476#0,-261324433#2,28063946#1,744419622#1,185216941#0
134192154#3,1123097890,1028570786#2,1237755658,1297669678,88561232#6,169811755#1,91686853#1,146191009#1
854239336#5,44838840,-44884666#0,-1066886864#0,90795019,742072643,-174022674#0,-395264639#4,-46655490#1
1108009356,304919603#1,-44884667#1,1056874645#1,203035354#4-AddedOffRampEdge,-161392626#0,-151175252#2,395264640#7,1064731222
282055767#2,-44838405#2,368074414#1,302028394#0,35216007#7,792462092#3,172365194#1,23994706#6,1021561139
1030288624#0,-44838405#3,170624690#1,680701145,273211082#0,-161392518#0,184314051#1,265221586#2,208649503#4
854239336#3,265010598#0,1028570786#0,303736644#0,1297669677,-671522408#3,184315497#2,98883477#10,-1024100297#1
47905475#0,265010598#2,-170624725,432603495#0,389636322#0,-71470213#3,120525515#1,-683453782#6,145988608
146744467,-45172805#1,-1028570785#2,579779585#0,21910839#0,148642786#2,-168664002#1,265225086,154082986#4
186846961#1,-45172604,198929896#0,681031183#2,95396799#1,-156919888#7,71470206#12,89934444#1,-154475500
25824165#0,680781425#3,1028570786#3,-47113644#0,33625902#1,-871138585#3,319196849#4,236999711#0,72002813#0
59254378#1,350217575#5,172627267#1,579779585#1,772804652#3,-70610417#0,-22736181#0,91730169#1,46655464#6
-431524249,-746064101,44884838#0,441655820,31046766#1,228514822#4,1057054850#2,395264624#1,-154458448#0
146744471#0,23704718#0,198929904,199783479,265176670#3,88083349#2,151175266#1,586176997#3,70794981#10
186846962#0,23704718#1,-368083795#2,-199783481,49680676#1,682712378,133434896#1,580443868,-46655805#0
1030281993#0,645224082#0,1108576328,-1066886860#1,95396790,88561232#5,261328669,1013424772,70936552#5
598962877,651677178#1,170624692#2,1056876859#1-AddedOnRampEdge,265176187#5,154800507,-30955664#0,260425576#9,410104678
-59254370#2,679785216#1,1241354856,72843607#1,95396756#0,-148642786#3,220548976#2,750083498#0,72157144
134923810,45173868#0,170624691#1,151696093,368086828#1,-58209110#1,-151175244#0,89934509#4,46655819#1
968218277#0,651637969,198929898#0,151560672#1,47418327#0,120588896#6,1030678059#3,-89881824#0,-46655813#0
-211240835#0,266086999,1028570792#0,-41529969,47416767#2,986505886#2,1024125607#0,580443871#0,-46655464#3
134923801#3,-261514199#0,368083796,47113620#2,1051315751#3,156919887#1,449399206#3,89828177,-998681826
642608817#2,-45172606#0,184580013,-297026342#0,264451390#1,-161392595#1,392092817#2,579331698#2,-46771112#1
-1278542560,209210757#0,23766689#4,-1058027398#1,35216239#1,154253459,133434898,585279933#0,99702517#0
134923819#3,-680781422,44884668#1,-60185717#0,368086015#4,70794984#4,157058398,395264640#3,70794981#8
968218278#4,-45172605#2,-368074417#0,-297026357,510157963,679937858,667865216#0,89820772#1,154458448#2
968218277#2,-680781424,172627267#2,1296331245#0,368086832#9,744892450#0,-152333600#1,531417291#1,46771119#2
134923802#4,45017437,-46875473#1,1124066512#0,667863954#2,154253452#1,372741506#1,196306518,-46655464#5
431519955#0,-45172806#0,1028570786#1,194569422,682261299#1,-154253469#1,168663974#2,89820763,71652104
45174351#1,45172802#1,32204060#0,1070304259#0,-157214540#2,-116436279#0,273211100#0,199311779#21,-46771113#1
642608819,-1268288169,-170624720#0,579779877,157238666#2,24294874#0,888035089#1,89929096#2,792190865#0
146744466,1268288170#1,1028572143#0,1057215449,95396833#0,88083355,157296628#0,-89881861#0,-1024100299#1
151474633,577567024,44884834#3,47981602#0,203035354#4,88956620#2,-133287965#0,-231439988#0,116439672#0
150868759#2,23704726#3,-1028570786#6,-398675574#1,157279313,-304727900#1,304727996#0,89825910#1,46771117#0
-186846962#1,257357812#2,44884829#3,462324823#4,95396801#0,-23288277#2,-151175267#0,199311794#18,792190865#2
